Номер КЛАССА,Наименование КЛАССА,Номер БЛОКА,Наименование БЛОКА,КОД,"Наименование КОДА 3-х, 4-х и 5-тизначных рубрик "
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z55.0,Неграмотность или низкий уровень грамотности
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z55.1,Отсутствие способности к обучению
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z55.2,Провал на экзаменах
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z55.3,Отставание в учебе
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z55.4,"Плохая адаптация к учебному процессу, конфликты с учителями и соучениками"
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z55.8,"Другие проблемы, связанные с образованием и грамотностью"
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z55.9,"Проблема, связанная с обучением и грамотностью неуточненная"
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z56,"Проблемы, связанные с работой и безработицей"
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z56.0,Отсутствие работы неуточненное
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z56.1,Смена работы
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z56.2,Угроза потерять работу
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z56.3,Напряженное рабочее расписание
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z56.4,Конфликт с начальником и сослуживцами
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z56.5,Неподходящая работа
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z56.6,Другое физическое и психическое напряжение в работе
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z56.7,"Другие и неуточненные проблемы, связанные с работой"
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z57,Воздействие производственных факторов риска
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z57.0,Неблагоприятное воздействие производственного шума
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z57.1,Неблагоприятное воздействие производственной радиации
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z57.2,Неблагоприятное воздействие производственной пыли
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z57.3,Неблагоприятное воздействие других производственных загрязнителей воздуха
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z57.4,"Неблагоприятное воздействие токсичных веществ, используемых в сельском хозяйстве"
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z57.5,Неблагоприятное воздействие токсичных веществ в других производствах
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z57.6,Неблагоприятное воздействие производственных экстремальных температур
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z57.7,Неблагоприятное воздействие производственной вибрации
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z57.8,Неблагоприятное воздействие других факторов риска
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z57.9,Неблагоприятное воздействие неуточненных факторов риска
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z58,"Проблемы, связанные с физическими факторами окружающей среды"
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z58.0,Воздействие шума
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z58.1,Воздействие загрязнения воздуха
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z58.2,Воздействие загрязнения воды
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z58.3,Воздействие загрязнения почвы
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z58.4,Воздействие радиационного загрязнения
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z58.5,Воздействие другого загрязнения
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z58.6,Неадекватное снабжение питьевой водой
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z58.8,"Другие проблемы, связанные с физическими факторами окружающей среды"
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z58.9,"Проблемы, связанные с физическими факторами окружающей среды, неуточненные"
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z59,"Проблемы, связанные с обстоятельствами жилищного и экономического характера"
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z59.0,Отсутствие жилища  бездомность  
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z59.1,Неудовлетворительные жилищные условия
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z59.2,"Конфликты с соседями, постояльцами, хозяевами"
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z59.3,"Проблемы, связанные с нахождением в учреждении постоянного проживания"
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z59.4,Отсутствие адекватной пищи
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z59.5,Крайняя нищета
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z59.6,Низкий уровень доходов
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z59.7,Недостаточность социального страхования и латеральной поддержки
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z59.8,"Другие проблемы, касающиеся экономических и жилищных условий"
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z59.9,"Проблема, касающаяся жилищных и экономических условий, неуточненная"
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z60,"Проблемы, связанные с адаптацией к изменению образа жизни"
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z60.0,"Проблемы, связанные с адаптацией к изменению образа жизни"
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z60.1,Нетипичная ситуация с родителями
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z60.2,Проживание в одиночестве
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z60.3,"Трудности, связанные с принятием другой культуры"
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z60.4,Социальная изоляция и остракизм
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z60.5,Жертва ощущаемой дискриминации или гонения
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z60.8,"Другие проблемы, связанные с социальным окружением"
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z60.9,"Проблема, связанная с факторами социального окружения, неуточненная"
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z61,"Проблемы, связанные с неблагоприятными жизненными событиями в детстве"
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z61.0,Потеря в детстве любимых родственников
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z61.1,Отлучение ребенка от дома
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z61.2,Изменение семейных отношений родственников в детстве
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z61.3,"События, приводящие к снижению самооценки в детстве"
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z61.4,"Проблемы, связанные с возможным сексуальным изнасилованием ребенка лицом, принадлежащим к группе первичной поддержки"
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z61.5,"Проблемы, связанные в возможным изнасилованием ребенка посторонним лицом"
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z61.6,"Проблемы, связанные с возможным физическим насилием по отношению к ребенку"
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z61.7,"Личные потрясения, перенесенные в детстве"
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z61.8,Другие неблагоприятные жизненные события в детстве
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z61.9,Неблагоприятное жизненное событие в детстве неуточненное
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z62,"Другие проблемы, связанные с воспитанием ребенка"
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z62.0,Неадекватность заботы и контроля со стороны родителей
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z62.1,Излишняя опека со стороны родителей
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z62.2,Воспитание в закрытом учреждении
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z62.3,Враждебное отношение и несправедливые претензии к ребенку
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z62.4,Эмоциональная заброшенность детей
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z62.5,"Другие проблемы, связанные с недостатками в воспитании"
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z62.6,Неприемлемое давление со стороны родителей и другие отрицательные факторы воспитания
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z62.8,"Другие уточненные проблемы, связанные с воспитанием ребенка"
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z62.9,"Проблема, связанная с воспитанием ребенка, неуточненная"
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z63,"Другие проблемы, связанные с близкими людьми, включая семейные обстоятельства"
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z63.0,"Проблемы, связанные с взаимоотношениями супругов или партнеров"
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z63.1,Проблемы взаимоотношений с родителями или родственниками жены или мужа
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z63.2,Недостаточная семейная поддержка
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z63.3,Отсутствие члена семьи
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z63.4,Исчезновение и смерть члена семьи
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z63.5,Распад семьи в результате разделения или развода
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z63.6,"Зависимый член семьи, нуждающийся в уходе в домашних условиях"
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z63.7,"Другие стрессовые жизненные события, влияющие на семью и экономические условия"
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z63.8,"Другие уточненные проблемы, связанные с группой первичной поддержки"
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z63.9,"Проблемы, связанные с группой первичной поддержки, неуточненные"
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z64,"Проблемы, связанные с определенными психосоциальными обстоятельствами"
21,"Факторы, влияющие на состояние здоровья населения и обращения в учреждения здравоохранения", Z55-Z65  ,"Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами",Z64.0,"Проблем, связанные с нежелательной беременностью"
